seed,domain,method,budget_fraction,regret,oracle_delta_q,realized_delta_q,budget_regret
45,tum_fr2_xyz,learned,0.1,0.07479412388056517,0.07897429913282394,0.004180175252258778,0.07027596607804298
45,tum_fr2_xyz,learned,0.2,0.12959668412804604,0.17051835358142853,0.04092166945338249,0.13108495622873306
45,tum_fr2_xyz,learned,0.4,0.20089244842529297,0.4226343035697937,0.22174185514450073,0.19885477423667908
45,tum_fr2_xyz,learned,0.6,0.05099037289619446,0.483527272939682,0.43253690004348755,0.23301035165786743
45,tum_fr2_xyz,learned,0.8,0.06109216809272766,0.5111280679702759,0.4500358998775482,0.2606111466884613
45,tum_fr2_xyz,oracle,0.1,0.0,0.07897429913282394,0.07897429913282394,-0.02172866463661194
45,tum_fr2_xyz,oracle,0.2,0.0,0.17051835358142853,0.17051835358142853,-0.00806581974029541
45,tum_fr2_xyz,oracle,0.4,0.0,0.4226343035697937,0.4226343035697937,-0.015885770320892334
45,tum_fr2_xyz,oracle,0.6,0.0,0.483527272939682,0.483527272939682,-0.0006845593452453613
45,tum_fr2_xyz,oracle,0.8,0.0,0.5111280679702759,0.5111280679702759,0.0
46,tum_fr1_desk_val,random,0.1,0.21862320601940155,0.2551996409893036,0.03657643496990204,0.22783991880714893
46,tum_fr1_desk_val,random,0.2,0.31670545786619186,0.3520963788032532,0.03539092093706131,0.3130021132528782
46,tum_fr1_desk_val,random,0.4,0.37899599969387054,0.5220712423324585,0.14307524263858795,0.38697658479213715
46,tum_fr1_desk_val,random,0.6,0.3222833275794983,0.6048338413238525,0.28255051374435425,0.21273523569107056
46,tum_fr1_desk_val,random,0.8,0.22526797652244568,0.6498000621795654,0.42453208565711975,0.23201540112495422
46,tum_fr1_desk_val,error_only,0.1,0.23561463132500648,0.2551996409893036,0.019585009664297104,0.23561463132500648
46,tum_fr1_desk_val,error_only,0.2,0.28590264171361923,0.3520963788032532,0.06619373708963394,0.2985442504286766
46,tum_fr1_desk_val,error_only,0.4,0.27858272194862366,0.5220712423324585,0.24348852038383484,0.22695714235305786
46,tum_fr1_desk_val,error_only,0.6,0.2018233835697174,0.6048338413238525,0.40301045775413513,0.325855016708374
46,tum_fr1_desk_val,error_only,0.8,0.16571596264839172,0.6498000621795654,0.4840840995311737,0.17148050665855408
46,tum_fr1_desk_val,heuristic,0.1,0.23512962833046913,0.2551996409893036,0.020070012658834457,0.20626069977879524
46,tum_fr1_desk_val,heuristic,0.2,0.27694858610630035,0.3520963788032532,0.07514779269695282,0.27694858610630035
46,tum_fr1_desk_val,heuristic,0.4,0.1665084958076477,0.5220712423324585,0.3555627465248108,0.16066080331802368
46,tum_fr1_desk_val,heuristic,0.6,0.08756524324417114,0.6048338413238525,0.5172685980796814,0.10136151313781738
46,tum_fr1_desk_val,heuristic,0.8,0.1379166841506958,0.6498000621795654,0.5118833780288696,0.1395549178123474
46,tum_fr1_desk_val,learned,0.1,0.1933891959488392,0.2551996409893036,0.0618104450404644,0.202840656042099
46,tum_fr1_desk_val,learned,0.2,0.2339797466993332,0.3520963788032532,0.11811663210391998,0.2559010535478592
46,tum_fr1_desk_val,learned,0.4,0.2713357210159302,0.5220712423324585,0.2507355213165283,0.27899476885795593
46,tum_fr1_desk_val,learned,0.6,0.29400527477264404,0.6048338413238525,0.3108285665512085,0.30905336141586304
46,tum_fr1_desk_val,learned,0.8,0.15169808268547058,0.6498000621795654,0.49810197949409485,0.15163078904151917
46,tum_fr1_desk_val,oracle,0.1,0.0,0.2551996409893036,0.2551996409893036,0.0283338725566864
